ratio_of_changes,language,glottocode,lemma,pos,reference,meaning_ru,ipa_comparison,russian_ipa_comparison,metathesis,problems
0.23076923076923078,Andi,andi1255,пешети,,Salimov 2010,печать,p-e-ʃ-e-t-i,pʲ-i-tʃ-'a-tʲ-0,,
0.23529411764705882,Tindi,tind1238,ЍТУ,,Magomedova 2003,утюг,ˌi-t-u-0,u-tʲ-'u-k,,
0.2631578947368421,Bagvalal,bagv1239,̄СЕᴴТÁ̄БИРБО̄С̄I,,Magomedova 2004,сентябрь,s:-ẽ-0-t-'a:-b-i-r,sʲ-i-n-tʲ-'a-b-0-rʲ,,
0.2857142857142857,Godoberi,ghod1238,ТIУЗЗÁ,,Saidova 2006,туз,t'-u-z-z-'a,t-'u-s-0-0,,
0.3076923076923077,Botlikh,botl1242,ди́птири,noun,"Alekseev, Azayev 2019",дифтерия,d-'i-p-t-i-r-i-0-0,dʲ-i-f-tʲ-e-rʲ-'i-j-a,,
0.38095238095238093,Andi,andi1255,къирал,,Salimov 2010,кором,q'-i-r-a-l,k-a-r-'o-lʲ,,
0.4,Akhvakh,akhv1239,кагъа',noun,"Magomedova, Abdulayeva 2007",карта,k-a-ʁ-0-'a,k-'a-r-t-a,,
0.4,Akhvakh,akhv1239,лаᴴпа',noun,"Magomedova, Abdulayeva 2007",лампа,l-ã-0-p-'a,l-'a-m-p-a,,
0.4117647058823529,Akhvakh,akhv1239,ки'ргIали,noun,"Magomedova, Abdulayeva 2007",креалин,k-'i-r-ʕ-a-l-i-0,k-rʲ-i-0-a-lʲ-'i-n,1,
0.4117647058823529,Tindi,tind1238,КАРṒТИ,,Magomedova 2003,кровать,k-a-r-'o:-0-0-t-i,k-0-r-a-v-'a-tʲ-0,,
0.4166666666666667,Karata-Tukita,kara1474,ТОХТУ'Р,,"Magomedova, Khalidova 2001","доктор, врач",t-o-χ-t-'u-r,d-'o-k-t-o-r,,
0.4166666666666667,Botlikh,botl1242,марма́р,noun,"Saidova, Abusov 2012",мрамор,m-a-r-m-'a-r,m-r-'a-m-a-r,1,
0.4166666666666667,Godoberi,ghod1238,МАРМÁР,,Saidova 2006,мрамор,m-a-r-m-'a-r,m-r-'a-m-a-r,1,
0.4166666666666667,Karata-Tukita,kara1474,Ч¯ИТ¹,,"Magomedova, Khalidova 2001",ситцевое платье,tʃ:-i-t-0-0,sʲ-'i-tʲ-i-ts,,
0.4166666666666667,Bagvalal,bagv1239,ЛАПÁН//ЛÁМПА,,Magomedova 2004,стекло,l-a-0-p-'a-n,l-'a-m-p-a-0,,
0.42105263157894735,Akhvakh,akhv1239,ки'ригIали,noun,"Magomedova, Abdulayeva 2007",креалин,k-'i-r-i-ʕ-a-l-i-0,k-0-rʲ-i-0-a-lʲ-'i-n,1,
0.43478260869565216,Akhvakh,akhv1239,одири,noun,"Magomedova, Abdulayeva 2007",орден,o-0-d-i-r-i,o-r-dʲ-i-n-0,,
0.43478260869565216,Bagvalal,bagv1239,ЧИТ,,Magomedova 2004,ситец,tʃ-i-t-0-0,sʲ-'i-tʲ-i-ts,,
0.43478260869565216,Botlikh,botl1242,чит,noun,"Alekseev, Azayev 2019",ситец,tʃ-i-t-0-0,sʲ-'i-tʲ-i-ts,,
0.43478260869565216,Botlikh,botl1242,чит,noun,"Saidova, Abusov 2012",ситец,tʃ-i-t-0-0,sʲ-'i-tʲ-i-ts,,
0.43478260869565216,Chamalal,cham1309,ЧИТ,noun III,Magomedova 1999,ситец,tʃ-i-t-0-0,sʲ-'i-tʲ-i-ts,,
0.43902439024390244,Andi,andi1255,заседани,,Salimov 2010,заседание,z-a-s-e-d-a-n-i-0-0,z-a-sʲ-i-d-'a-nʲ-i-j-e,,
0.4444444444444444,Bagvalal,bagv1239,̄САРДЖ́ИН,,Magomedova 2004,сажень,s:-a-r-dʒ-'i-n,s-'a-0-ᴣ-i-nʲ,,
0.45454545454545453,Godoberi,ghod1238,ЧАКЯ́Р,,Saidova 2006,сахар,tʃ-a-kʲ-'a-r,s-'a-x-a-r,,
0.47619047619047616,Bagvalal,bagv1239,ЧАКÁР,,Magomedova 2004,сахар,tʃ-a-k-'a-r,s-'a-x-a-r,,
0.47619047619047616,Karata-Tukita,kara1474,ЧАКА'Р,,"Magomedova, Khalidova 2001",сахар,tʃ-a-k-'a-r,s-'a-x-a-r,,
0.47619047619047616,Tindi,tind1238,ЧАКÁР²,,Magomedova 2003,сахар,tʃ-a-k-'a-r,s-'a-x-a-r,,
0.48,Akhvakh,akhv1239,ха̄'гIате,noun,"Magomedova, Abdulayeva 2007",халат,χ-'a:-ʕ-a-t-e,x-a-l-'a-t-0,,
0.4827586206896552,Godoberi,ghod1238,АВАРÁ,noun,Saidova 2006,авария,a-w-a-r-'a-0-0,a-v-'a-rʲ-i-j-a,,
0.5,Botlikh,botl1242,гири́п,noun,"Alekseev, Azayev 2019",грипп,g-i-r-'i-p,g-0-rʲ-i-p,,
0.5,Botlikh,botl1242,дере́л,noun,"Alekseev, Azayev 2019",дрель,d-e-r-'e-l,d-0-rʲ-e-l,,
0.5,Botlikh,botl1242,кере́м,noun,"Alekseev, Azayev 2019",крем,k-e-r-'e-m,k-0-rʲ-e-m,,
0.5,Godoberi,ghod1238,ПÓЕЗД/И,,Saidova 2006,поезд,p-'o-0-e-z-d-i,p-'o-j-i-s-t-0,,
0.5,Karata-Tukita,kara1474,ТАМАХЬУ',,"Magomedova, Khalidova 2001",табак,t-a-m-a-x-'u,t-a-b-'a-k-0,,
0.5217391304347826,Karata-Tukita,kara1474,НИКИ'Л,,"Magomedova, Khalidova 2001",никель,n-i-k-'i-l,nʲ-'i-kʲ-i-lʲ,,
0.5245901639344263,Bagvalal,bagv1239,ТАРАᴴСУМÁ̄ТАР,,Magomedova 2004,трансформатор,t-a-r-ã-0-s-u-0-0-0-m-'a:-t-a-r,t-0-r-a-n-s-0-f-a-r-m-'a-t-a-r,,
0.5333333333333333,Akhvakh,akhv1239,писи'йа,noun,"Magomedova, Abdulayeva 2007",пенсия,p-i-0-s-'i-j-a,pʲ-'e-n-sʲ-i-j-a,,
0.5333333333333333,Botlikh,botl1242,пел,noun,"Alekseev, Azayev 2019",плен,p-e-l-0,p-lʲ-e-n,1,
0.5384615384615384,Akhvakh,akhv1239,лезе',noun,"Magomedova, Abdulayeva 2007",резинка,l-e-z-'e-0-0,rʲ-i-zʲ-'i-n-a,,
0.5384615384615384,Akhvakh,akhv1239,що'пири,noun,"Magomedova, Abdulayeva 2007",шофер,ʃ:-'o-p-i-r-i,ʃ-a-fʲ-'o-r-0,,
