,language,glottocode,lemma,pos,reference,meaning_ru,target_ipa,russian_ipa,metathesis,problems
0,Karata-Tukita,kara1474,Г|АЛМАЗ,,"Magomedova, Khalidova 2001",алмаз,ʕ-a-l-m-a-z,0-A-l-m-'a-Z,,
1,Avar,avar1256,хъарпýз,,Gimbatov 2006,арбуз,q-a-r-p-'u-z,0-A-r-b-'u-Z,,
2,Botlikh,botl1242,хъарпу́з,noun,"Saidova, Abusov 2012",арбуз,q-a-r-p-'u-z,0-A-r-b-'u-Z,,
3,Avar,avar1256,гІаршýн,,Gimbatov 2006,аршин,ʕ-a-r-ʃ-'u-n,0-A-r-ʃ-'i-n,,
4,Botlikh_Al,botl1242,гIаршин,noun,"Alekseev, Azayev 2019",аршин,ʕ-a-r-ʃ-i-n,0-A-r-ʃ-'i-n,,
5,Botlikh_Al,botl1242,гIапи́цер,noun,"Alekseev, Azayev 2019",офицер,ʕ-a-p-'i-ts-e-r,0-O-fʲ-I-ts-'e-r,,
6,Godoberi,ghod1238,ИСИБИ́ШКЯ,,Saidova 2006,спичка,i-s-i-b-'i-ʃ-kʲ-a,0-s-0-pʲ-'i-tɕ-k-A,,
7,Botlikh_Al,botl1242,изда́ча,,"Alekseev, Azayev 2019",сдача,i-z-d-'a-tʃ-a,0-S-d-'a-tɕ-A,,
8,Botlikh_Al,botl1242,иска́тир,noun,"Alekseev, Azayev 2019",скатерть,i-s-k-'a-t-i-r-0,0-s-k-'a-tʲ-E-r-tʲ,,
9,Bagvalal,bagv1239,ИСКАЛÁД,,Magomedova 2004,склад,i-s-k-a-l-'a-d,0-s-k-0-l-'a-D,,
10,Botlikh_Al,botl1242,искала́д,noun,"Alekseev, Azayev 2019",склад,i-s-k-a-l-'a-d,0-s-k-0-l-'a-D,,
11,Botlikh,botl1242,искала́д,noun,"Saidova, Abusov 2012",склад,i-s-k-a-l-'a-d,0-s-k-0-l-'a-D,,
12,Godoberi,ghod1238,ИСКЯЛÁТИ,,Saidova 2006,склад,i-s-kʲ-a-l-'a-t-i,0-s-k-0-l-'a-D-0,,
13,Botlikh_Al,botl1242,искаме́йка,noun,"Alekseev, Azayev 2019",скамейка,i-s-k-a-m-'e-j-k-a,0-s-k-A-mʲ-'e-j-k-A,,
14,Botlikh,botl1242,ислава́р,noun,"Saidova, Abusov 2012",словарь,i-s-l-a-w-'a-r,0-s-l-O-v-'a-rʲ,,
15,Godoberi,ghod1238,ИСЛАВÁР,,Saidova 2006,словарь,i-s-l-a-w-'a-r,0-s-l-O-v-'a-rʲ,,
16,Andi,andi1255,испаравка,,Salimov 2010,справка,i-s-p-a-r-a-w-k-a,0-s-p-0-r-'a-V-k-A,,
17,Botlikh,botl1242,испара́вка,noun,"Saidova, Abusov 2012",справка,i-s-p-a-r-'a-w-k-a,0-s-p-0-r-'a-V-k-A,,
18,Botlikh_Al,botl1242,испа́равка,noun,"Alekseev, Azayev 2019",справка,i-s-p-'a-r-a-w-k-a,0-s-p-0-r-'a-V-k-A,,
19,Godoberi,ghod1238,ИСПАРÁВКЯ,,Saidova 2006,справка,i-s-p-a-r-'a-w-kʲ-a,0-s-p-0-r-'a-V-k-A,,
20,Botlikh_Al,botl1242,испи́рт,,"Alekseev, Azayev 2019",спирт,i-s-p-'i-r-t,0-s-pʲ-'i-r-t,,
21,Botlikh_Al,botl1242,испи́сок,,"Alekseev, Azayev 2019",список,i-s-p-'i-s-o-k,0-s-pʲ-'i-s-O-k,,
22,Akhvakh,akhv1239,испи'чка,noun,"Magomedova, Abdulayeva 2007",спички,i-s-p-'i-tʃ-k-a,0-s-pʲ-'i-tɕ-k-A,,
23,Avar,avar1256,испѝчкIа,,Gimbatov 2006,спичка,i-s-p-'i-tʃ-k'-a,0-s-pʲ-'i-tɕ-k-A,,
24,Botlikh_Al,botl1242,исби́шка,noun,"Alekseev, Azayev 2019",спичка,i-s-b-'i-ʃ-k-a,0-s-pʲ-'i-tɕ-k-A,,
25,Botlikh_Al,botl1242,испи́шка,noun,"Alekseev, Azayev 2019",спичка,i-s-p-'i-ʃ-k-a,0-s-pʲ-'i-tɕ-k-A,,
26,Botlikh,botl1242,испи́шка,noun,"Saidova, Abusov 2012",спичка,i-s-p-'i-ʃ-k-a,0-s-pʲ-'i-tɕ-k-A,,
27,Karata-Tukita,kara1474,ИСПИ'ЧКА,,"Magomedova, Khalidova 2001",спички,i-s-p-'i-tʃ-k-a,0-s-pʲ-'i-tɕ-k-A,,
28,Botlikh_Al,botl1242,иста́нци,noun,"Alekseev, Azayev 2019",станция,i-s-t-'a-n-ts-i-0-0,0-s-t-'a-n-ts-I-j-A,,
29,Botlikh,botl1242,иста́нцийа,noun,"Saidova, Abusov 2012",станция,i-s-t-'a-n-ts-i-j-a,0-s-t-'a-n-ts-I-j-A,,
30,Godoberi,ghod1238,ИСТÁНЦИЙА,,Saidova 2006,станция,i-s-t-'a-n-ts-i-j-a,0-s-t-'a-n-ts-I-j-A,,
31,Botlikh,botl1242,иста́ж,noun,"Saidova, Abusov 2012",стаж,i-s-t-'a-ʒ,0-s-t-'a-ZH,,
32,Godoberi,ghod1238,ИСТÁЖИ,,Saidova 2006,стаж,i-s-t-'a-ʒ-i,0-s-t-'a-ZH-0,,
33,Andi,andi1255,устӏол,,Salimov 2010,стол,u-s-t'-o-l,0-s-t-'o-l,,
34,Bagvalal,bagv1239,ИСТÓЛ,,Magomedova 2004,стол,i-s-t-'o-l,0-s-t-'o-l,,
