language;glottocode;lemma;pos;reference;meaning_ru;morph_deleted;target_ipa_morph;derived;target_ipa;russian_ipa;metathesis;problems;total_segments;match_count
Avar;avar1256;аб?рт;noun;Gimbatov 2006;аборт;;;;a-b-'o-r-t;A-b-'o-r-t;;;5;5
Botlikh;botl1242;або?рт;noun;Alekseev, Azayev 2019;аборт;;;;a-b-'o-r-t;A-b-'o-r-t;;;5;5
Akhvakh;akhv1239;ава?'си;noun;Magomedova, Abdulayeva 2007;аванс;;;;a-w-'a-0-s-i;A-v-'a-n-s-0;;;6;3
Avar;avar1256;ава?нс;noun;Gimbatov 2006;аванс;;;;a-w-'a-n-s;A-v-'a-n-s;;;5;4
Bagvalal;bagv1239;АВ?НС;noun;Magomedova 2004;аванс;;;;a-w-'a-n-s;A-v-'a-n-s;;;5;4
Botlikh;botl1242;ава?нс;noun;Saidova, Abusov 2012;аванс;;;;a-w-'a-n-s;A-v-'a-n-s;;;5;4
Chamalal;cham1309;АВА??Ц;noun;Magomedova 1999;аванс;;;;a-w-'a-0-ts;A-v-'a-n-s;;;5;2
Godoberi;ghod1238;АВ?НСИ;noun;Saidova 2006;аванс;;;;a-w-'a-n-s-i;A-v-'a-n-s-0;;;6;4
Karata-Tukita;kara1474;А'МАНЦА;noun;Magomedova, Khalidova 2001;аванс;;;;a-m-a-n-ts-a;A-v-'a-n-s-0;;;6;3
Bagvalal;bagv1239;АВА?Т?УРА;noun;Magomedova 2004;авантюра;;;;a-w-a?-0-t-'u-r-a;A-v-A-n-t?-'u-r-A;;;8;2
Bagvalal;bagv1239;АВА?ТУР?ИСТ;noun;Magomedova 2004;авантюрист;;;;a-w-a?-0-t-u-r-'i-s-t;A-v-A-n-t?-U-r?-'i-s-t;;;10;2
Bagvalal;bagv1239;АВА?ТУР?ИСКА;noun;Magomedova 2004;авантюристка;;;;a-w-a?-0-t-u-r-'i-s-0-k-a;A-v-A-n-t?-U-r?-'i-s-t-k-A;;;12;2
Akhvakh;akhv1239;ава'рийа;noun;Magomedova, Abdulayeva 2007;авария;;;;a-w-'a-r-i-j-a;A-v-'a-r?-I-j-A;;;7;6
Avar;avar1256;ава?рия;noun;Gimbatov 2006;авария;;;;a-w-'a-r-i-j-a;A-v-'a-r?-I-j-A;;;7;6
Bagvalal;bagv1239;АВ?РИЙА;noun;Magomedova 2004;авария;;;;a-w-'a-r-i-j-a;A-v-'a-r?-I-j-A;;;7;6
Botlikh;botl1242;ава?ри;noun;Alekseev, Azayev 2019;авария;;;;a-w-'a-r-i-0-0;A-v-'a-r?-I-j-A;;;7;4
Godoberi;ghod1238;АВАР?;noun;Saidova 2006;авария;;;;a-w-a-r-'a-0-0;A-v-'a-r?-I-j-A;;;7;3
