language,reference,language_ref,meaning_ru,meaning_id,russian_ipa,target_ipa,change,metathesis,total_units_per_word,changes_per_word,time_of_borrowing,type_of_change
Avar,Gimbatov 2006,Avar: Gimbatov 2006,аборт,1,A,a,no_change,0,5,0,Soviet,no_change
Avar,Gimbatov 2006,Avar: Gimbatov 2006,аборт,1,b,b,no_change,0,5,0,Soviet,no_change
Avar,Gimbatov 2006,Avar: Gimbatov 2006,аборт,1,o,o,no_change,0,5,0,Soviet,no_change
Avar,Gimbatov 2006,Avar: Gimbatov 2006,аборт,1,r,r,no_change,0,5,0,Soviet,no_change
Avar,Gimbatov 2006,Avar: Gimbatov 2006,аборт,1,t,t,no_change,0,5,0,Soviet,no_change
Botlikh,"Alekseev, Azaev 2019","Botlikh: Alekseev, Azaev 2019",аборт,1,A,a,no_change,0,5,0,Soviet,no_change
Botlikh,"Alekseev, Azaev 2019","Botlikh: Alekseev, Azaev 2019",аборт,1,b,b,no_change,0,5,0,Soviet,no_change
Botlikh,"Alekseev, Azaev 2019","Botlikh: Alekseev, Azaev 2019",аборт,1,o,o,no_change,0,5,0,Soviet,no_change
Botlikh,"Alekseev, Azaev 2019","Botlikh: Alekseev, Azaev 2019",аборт,1,r,r,no_change,0,5,0,Soviet,no_change
Botlikh,"Alekseev, Azaev 2019","Botlikh: Alekseev, Azaev 2019",аборт,1,t,t,no_change,0,5,0,Soviet,no_change
Akhvakh,"Magomedova, Abdulayeva 2007","Akhvakh: Magomedova, Abdulayeva 2007",аванс,1,A,a,no_change,0,6,2,Pre-Soviet,no_change
Akhvakh,"Magomedova, Abdulayeva 2007","Akhvakh: Magomedova, Abdulayeva 2007",аванс,1,v,w,no_change,0,6,2,Pre-Soviet,no_change
Akhvakh,"Magomedova, Abdulayeva 2007","Akhvakh: Magomedova, Abdulayeva 2007",аванс,1,a,ã,change,0,6,2,Pre-Soviet,nasalization
Akhvakh,"Magomedova, Abdulayeva 2007","Akhvakh: Magomedova, Abdulayeva 2007",аванс,1,n,0,no_change,0,6,2,Pre-Soviet,no_change
Akhvakh,"Magomedova, Abdulayeva 2007","Akhvakh: Magomedova, Abdulayeva 2007",аванс,1,s,s,no_change,0,6,2,Pre-Soviet,no_change
Akhvakh,"Magomedova, Abdulayeva 2007","Akhvakh: Magomedova, Abdulayeva 2007",аванс,1,0,i,change,0,6,2,Pre-Soviet,paragoge
Avar,Gimbatov 2006,Avar: Gimbatov 2006,аванс,1,A,a,no_change,0,5,0,Pre-Soviet,no_change
Avar,Gimbatov 2006,Avar: Gimbatov 2006,аванс,1,v,w,no_change,0,5,0,Pre-Soviet,no_change
Avar,Gimbatov 2006,Avar: Gimbatov 2006,аванс,1,a,a,no_change,0,5,0,Pre-Soviet,no_change
Avar,Gimbatov 2006,Avar: Gimbatov 2006,аванс,1,n,n,no_change,0,5,0,Pre-Soviet,no_change
Avar,Gimbatov 2006,Avar: Gimbatov 2006,аванс,1,s,s,no_change,0,5,0,Pre-Soviet,no_change
Bagvalal,Magomedova 2004,Bagvalal: Magomedova 2004,аванс,1,A,a,no_change,0,5,0,Pre-Soviet,no_change
