,language,russian_ipa_segments,target_ipa_segments,count,corresponding_target_ipa
0,Akhvakh,'a,'a,40,"[""k-i-t-'a-j-e-tsː"", ""k-i-t-'a-j-0-tsː"", ""k-i-t-'a-j-0-tsː"", ""k-i-t-'a-j"", ""t-a-t-'a-r"", ""t-a-t-'a-r"", ""ts-i-ɡ-'a-0"", ""tsː-i-ɡ-'a-n"", ""a-w-'a-0-s-i"", ""a-w-'a-r-i-j-a"", ""ɡ-'a-z-i"", ""hʷ-a-n-'a-r-i"", ""i-ʃ-k-'a-p-i"", ""j-'a-ʃː-u-r-i"", ""k-a-0-s-0-0-'a-r-0-0-a"", ""k'-'a-p'-i-l-i"", ""k'-'a-p'-l-i"", ""l-'a-0-p-o-tʃ-k-a"", ""l-'a-ɡ-i-r-i"", ""l-a-p-'a-t-i-k-a"", ""l-a-p-'a-t-k-a"", ""l-a-p-sː-'a-0"", ""m-'a-0-k'-a"", ""m-'a-z-i"", ""p-a-l-'a-sː-i"", ""p-a-n-'a-r-i"", ""p-a-r-'a-z-n-i-k'-e"", ""p-a-s-'a-k-e"", ""p-e-tʃ-'a-t-i"", ""p-i-dʒ-'a-k-i"", ""p-i-tʃ-'a-t-i"", ""t-e-t-r-'a-t-i"", ""t-i-l-m-'a-tʃ-i"", ""t-i-t-r-'a-t-i"", ""t-u-r-u-b-'a"", ""tsː-ĩ-ɡ-'a-0"", ""tʃ-'a-k-a-0"", ""tʃ'-'a-tʃ'-a"", ""z-'a-k-i-sː-i"", ""ʕ-0-eː-r-a-p-u-l-'a-0""]"
1,Akhvakh,'a,'e,1,"[""a-r-m-'e-n""]"
2,Akhvakh,'a,'eː,1,"[""tʃ-'eː-0-n-i-k'-e""]"
3,Akhvakh,'a,'o,1,"[""b-'o-z-i""]"
4,Akhvakh,'a,'u,1,"[""m-a-q'ː-u-l-'u-ʃː-k-a""]"
5,Akhvakh,'a,0,1,"[""χːʷ-'a-ʒ-0-0-0-0""]"
6,Akhvakh,'a,a,15,"[""a-0-m-a-sː-'e"", ""a-d-'i-j-a-0-0"", ""b-'a-d-r-a-ʒ-a-0"", ""b-a-t-u-ʃː-'i-k'-a"", ""d-'a-s-k-a"", ""ɡ-'a-r-a-0"", ""j-a-ʃː-'i-k-i"", ""k-'u-r-p-a"", ""k-a-r-'a-w-a-t-e"", ""k-a-ʁ-0-'a"", 's-u-χ-a-r-i', ""sː-a-ʒ-'i-0"", ""sː-u-d-'i-j-a"", ""χ-'aː-ʕ-a-t-e"", 'χːʷ-a-ʒ-a-i-n-i']"
7,Akhvakh,'a,ã,1,"[""l-ã-0-p-'a""]"
8,Akhvakh,'a,r,1,['t-e-l-e-ɡ-a-r-0-a']
9,Akhvakh,'e,'a,2,"[""tʃ-a-tʃ-'a-n"", ""tʃ-a-tʃ-'a-n""]"
10,Akhvakh,'e,'e,23,"[""n-'e-ɡ-r"", ""n-'e-m-0-ts"", ""t-u-r-k-m-'e-n"", ""t-u-r-k-m-'e-n"", ""u-z-b-'e-k"", ""u-z-b-'e-k"", ""u-z-b-'e-k"", ""a-p-i-ts-'e-r-i"", ""a-r-t-'e-l-i"", ""ɡ-a-l-i-p-'e"", ""k-e-m-0-'e-t-i"", ""k'-e-b-'e-0-k'-i"", ""l-a-t-a-r-'e-0-0"", ""l-a-t-a-r-'e-j-a"", ""m-'e-t-r-a"", ""n-'e-ɡ-r-a"", ""n-'e-m-0-ts-a"", ""p-'e-0-s-i-j-a"", ""p-'e-r-m-a"", ""p-'e-tʃ-i"", ""p-ẽ-0-s-i-a-n-'e-r-i"", ""ʃː-i-p-a-n-0-'e-r-i"", ""w-a-l-'e-t-i""]"
11,Akhvakh,'e,'eː,4,"[""k-a-r-'eː-0-0-tsː"", ""hʷ-a-n-'eː-r-a"", ""k-a-z-'eː-t-e"", ""p-a-n-'eː-r-a""]"
12,Akhvakh,'e,'i,6,"[""k-a-z-'i-j-a-t-e"", ""m-'i-t-i-r-a"", ""m-'i-t-r-a"", ""p-a-l-a-t-'i-0-ts'ː-a"", ""sː-'i-m-i-tʃ-k-a"", ""sː-i-m-'i-0-t-i""]"
13,Akhvakh,'e,e,2,"['a-m-e-r-i-k-ã-0-0-ts', 'ʃː-e-n-e-l-o']"
14,Akhvakh,'e,eː,1,['k-a-r-eː-0-0-tsː']
15,Akhvakh,'e,i,1,"[""p-i-0-s-'i-j-a""]"
16,Akhvakh,'i,'e,6,"[""k-e-0-p-'e-tʃ-i"", ""l-e-z-'e-0-0"", ""l-e-z-'e-0-k-a"", ""r-e-z-'e-0-0"", ""r-e-z-'e-0-k-a"", ""sː-ẽ-t-'e-0""]"
17,Akhvakh,'i,'i,23,"[""b-a-ʃ-k-'i-r"", ""l-e-z-ɡ-'i-n"", ""l-e-z-ɡ-'i-n"", ""p-a-t-'i-0-k-a"", ""u-k-r-a-'i-n-a"", ""u-tʃ-'i-tɬː-l-i"", ""a-l-p-a-w-'i-t-i"", ""i-s-p-'i-tʃ-k-a"", ""k-i-0-p-'i-tʃ-i"", ""k-i-n-'i-ʃː-i-k'-a"", ""l-'i-t-i-r-a"", ""m-a-ʃ-'i-n-a"", ""m-i-l-'i-ts-0-0-a"", ""n-'i-k-i-l-i"", ""p-'i-0-k-a"", ""p-'i-0-k-a"", ""p-a-ʃ-l-'i-qː-i"", ""p-u-r-ʒ-'i-0-0"", ""ʃː-'i-p-i-r-i"", ""ʃː-'i-p-r-i"", ""tʃː-'i-t-i-0"", ""u-tʃ-'i-t-ẽ-0-0-0-ts-a"", ""u-tʃ-'i-tɬː-l-i""]"
18,Akhvakh,'i,i,5,"['a-sː-e-t-i-n', 'a-sː-e-t-i-n', ""k-'i-r-i-ʕ-a-l-i-0"", ""k-'i-r-ʕ-a-l-i-0"", ""k-i-r-'i-m-d-i-ʃː-i-0""]"
19,Akhvakh,'o,'e,1,"[""k-'e-t-o""]"
20,Akhvakh,'o,'o,15,"[""a-d-i-k-a-l-'o-0"", ""b-'o-tʃ-i-k-a"", ""b-u-r-'o"", ""k-i-l-'o"", ""m-i-lː-ĩ-'o-0"", ""o-k-'o-l-i"", ""p-'o-r-m-a"", ""p-'o-tʃ-0-i"", ""p-a-l-a-t'-i-n-'o"", ""r-a-ʃː-'o-t-e"", ""sː-'o-t-i-χː-e"", ""t-'o-k-i"", ""t-'o-l-i"", ""t-'o-χ-t-o-r-o"", ""tʃ-i-χ-'o-t-k-a""]"
21,Akhvakh,'o,'oː,1,"[""u-χː-a-d-n-'oː-0""]"
