language,reference,russian_source_lexeme,russian_ipa,target_ipa,change,total_units_per_word,changes_per_word,type_of_change,time_of_borrowing,lemma_frequency_ipm
Avar,Gimbatov 2006,аборт,A,a,no_change,5,0,no_change,Soviet,8.3
Avar,Gimbatov 2006,аборт,b,b,no_change,5,0,no_change,Soviet,8.3
Avar,Gimbatov 2006,аборт,o,o,no_change,5,0,no_change,Soviet,8.3
Avar,Gimbatov 2006,аборт,r,r,no_change,5,0,no_change,Soviet,8.3
Avar,Gimbatov 2006,аборт,t,t,no_change,5,0,no_change,Soviet,8.3
Botlikh,"Alekseev, Azaev 2019",аборт,A,a,no_change,5,0,no_change,Soviet,8.3
Botlikh,"Alekseev, Azaev 2019",аборт,b,b,no_change,5,0,no_change,Soviet,8.3
Botlikh,"Alekseev, Azaev 2019",аборт,o,o,no_change,5,0,no_change,Soviet,8.3
Botlikh,"Alekseev, Azaev 2019",аборт,r,r,no_change,5,0,no_change,Soviet,8.3
Botlikh,"Alekseev, Azaev 2019",аборт,t,t,no_change,5,0,no_change,Soviet,8.3
Akhvakh,"Magomedova, Abdulayeva 2007",аванс,A,a,no_change,6,2,no_change,Pre-Soviet,7.1
Akhvakh,"Magomedova, Abdulayeva 2007",аванс,v,w,no_change,6,2,no_change,Pre-Soviet,7.1
Akhvakh,"Magomedova, Abdulayeva 2007",аванс,a,ã,change,6,2,nasalization,Pre-Soviet,7.1
Akhvakh,"Magomedova, Abdulayeva 2007",аванс,n,0,no_change,6,2,no_change,Pre-Soviet,7.1
Akhvakh,"Magomedova, Abdulayeva 2007",аванс,s,s,no_change,6,2,no_change,Pre-Soviet,7.1
Akhvakh,"Magomedova, Abdulayeva 2007",аванс,0,i,change,6,2,final vowel epenthesis,Pre-Soviet,7.1
Avar,Gimbatov 2006,аванс,A,a,no_change,5,0,no_change,Pre-Soviet,7.1
Avar,Gimbatov 2006,аванс,v,w,no_change,5,0,no_change,Pre-Soviet,7.1
Avar,Gimbatov 2006,аванс,a,a,no_change,5,0,no_change,Pre-Soviet,7.1
Avar,Gimbatov 2006,аванс,n,n,no_change,5,0,no_change,Pre-Soviet,7.1
Avar,Gimbatov 2006,аванс,s,s,no_change,5,0,no_change,Pre-Soviet,7.1
Bagvalal,Magomedova 2004,аванс,A,a,no_change,5,0,no_change,Pre-Soviet,7.1
Bagvalal,Magomedova 2004,аванс,v,w,no_change,5,0,no_change,Pre-Soviet,7.1
Bagvalal,Magomedova 2004,аванс,a,a,no_change,5,0,no_change,Pre-Soviet,7.1
Bagvalal,Magomedova 2004,аванс,n,n,no_change,5,0,no_change,Pre-Soviet,7.1
Bagvalal,Magomedova 2004,аванс,s,s,no_change,5,0,no_change,Pre-Soviet,7.1
Botlikh,"Saidova, Abusov 2012",аванс,A,a,no_change,5,0,no_change,Pre-Soviet,7.1
Botlikh,"Saidova, Abusov 2012",аванс,v,w,no_change,5,0,no_change,Pre-Soviet,7.1
Botlikh,"Saidova, Abusov 2012",аванс,a,a,no_change,5,0,no_change,Pre-Soviet,7.1
Botlikh,"Saidova, Abusov 2012",аванс,n,n,no_change,5,0,no_change,Pre-Soviet,7.1
Botlikh,"Saidova, Abusov 2012",аванс,s,s,no_change,5,0,no_change,Pre-Soviet,7.1
Chamalal,Magomedova 1999,аванс,A,a,no_change,5,2,no_change,Pre-Soviet,7.1
Chamalal,Magomedova 1999,аванс,v,w,no_change,5,2,no_change,Pre-Soviet,7.1
Chamalal,Magomedova 1999,аванс,a,ã,change,5,2,nasalization,Pre-Soviet,7.1
Chamalal,Magomedova 1999,аванс,n,0,no_change,5,2,no_change,Pre-Soviet,7.1
Chamalal,Magomedova 1999,аванс,s,ts,change,5,2,other,Pre-Soviet,7.1
Godoberi,Saidova 2006,аванс,A,a,no_change,6,1,no_change,Pre-Soviet,7.1
Godoberi,Saidova 2006,аванс,v,w,no_change,6,1,no_change,Pre-Soviet,7.1
Godoberi,Saidova 2006,аванс,a,a,no_change,6,1,no_change,Pre-Soviet,7.1
Godoberi,Saidova 2006,аванс,n,n,no_change,6,1,no_change,Pre-Soviet,7.1
Godoberi,Saidova 2006,аванс,s,s,no_change,6,1,no_change,Pre-Soviet,7.1
Godoberi,Saidova 2006,аванс,0,i,change,6,1,final vowel epenthesis,Pre-Soviet,7.1
Karata-Tukita,"Magomedova, Khalidova 2001",аванс,A,a,no_change,6,3,no_change,Pre-Soviet,7.1
Karata-Tukita,"Magomedova, Khalidova 2001",аванс,v,m,change,6,3,other,Pre-Soviet,7.1
Karata-Tukita,"Magomedova, Khalidova 2001",аванс,a,a,no_change,6,3,no_change,Pre-Soviet,7.1
Karata-Tukita,"Magomedova, Khalidova 2001",аванс,n,n,no_change,6,3,no_change,Pre-Soviet,7.1
Karata-Tukita,"Magomedova, Khalidova 2001",аванс,s,ts,change,6,3,other,Pre-Soviet,7.1
Karata-Tukita,"Magomedova, Khalidova 2001",аванс,0,a,change,6,3,final vowel epenthesis,Pre-Soviet,7.1
Bagvalal,Magomedova 2004,авантюра,A,a,no_change,8,1,no_change,Pre-Soviet,5.5
Bagvalal,Magomedova 2004,авантюра,v,w,no_change,8,1,no_change,Pre-Soviet,5.5
Bagvalal,Magomedova 2004,авантюра,A,ã,change,8,1,nasalization,Pre-Soviet,5.5
Bagvalal,Magomedova 2004,авантюра,n,0,no_change,8,1,no_change,Pre-Soviet,5.5
Bagvalal,Magomedova 2004,авантюра,tʲ,t,no_change,8,1,no_change,Pre-Soviet,5.5
Bagvalal,Magomedova 2004,авантюра,u,u,no_change,8,1,no_change,Pre-Soviet,5.5
Bagvalal,Magomedova 2004,авантюра,r,r,no_change,8,1,no_change,Pre-Soviet,5.5
Bagvalal,Magomedova 2004,авантюра,A,a,no_change,8,1,no_change,Pre-Soviet,5.5
Bagvalal,Magomedova 2004,авантюрист,A,a,no_change,10,1,no_change,Pre-Soviet,4.1
Bagvalal,Magomedova 2004,авантюрист,v,w,no_change,10,1,no_change,Pre-Soviet,4.1
Bagvalal,Magomedova 2004,авантюрист,A,ã,change,10,1,nasalization,Pre-Soviet,4.1
Bagvalal,Magomedova 2004,авантюрист,n,0,no_change,10,1,no_change,Pre-Soviet,4.1
Bagvalal,Magomedova 2004,авантюрист,tʲ,t,no_change,10,1,no_change,Pre-Soviet,4.1
Bagvalal,Magomedova 2004,авантюрист,U,u,no_change,10,1,no_change,Pre-Soviet,4.1
Bagvalal,Magomedova 2004,авантюрист,rʲ,r,no_change,10,1,no_change,Pre-Soviet,4.1
Bagvalal,Magomedova 2004,авантюрист,i,i,no_change,10,1,no_change,Pre-Soviet,4.1
Bagvalal,Magomedova 2004,авантюрист,s,s,no_change,10,1,no_change,Pre-Soviet,4.1
Bagvalal,Magomedova 2004,авантюрист,t,t,no_change,10,1,no_change,Pre-Soviet,4.1
Bagvalal,Magomedova 2004,авантюристка,A,a,no_change,12,2,no_change,Pre-Soviet,0.6
Bagvalal,Magomedova 2004,авантюристка,v,w,no_change,12,2,no_change,Pre-Soviet,0.6
Bagvalal,Magomedova 2004,авантюристка,A,ã,change,12,2,nasalization,Pre-Soviet,0.6
Bagvalal,Magomedova 2004,авантюристка,n,0,no_change,12,2,no_change,Pre-Soviet,0.6
Bagvalal,Magomedova 2004,авантюристка,tʲ,t,no_change,12,2,no_change,Pre-Soviet,0.6
Bagvalal,Magomedova 2004,авантюристка,U,u,no_change,12,2,no_change,Pre-Soviet,0.6
Bagvalal,Magomedova 2004,авантюристка,rʲ,r,no_change,12,2,no_change,Pre-Soviet,0.6
Bagvalal,Magomedova 2004,авантюристка,i,i,no_change,12,2,no_change,Pre-Soviet,0.6
Bagvalal,Magomedova 2004,авантюристка,s,s,no_change,12,2,no_change,Pre-Soviet,0.6
Bagvalal,Magomedova 2004,авантюристка,t,0,change,12,2,middle consonant deletion,Pre-Soviet,0.6
Bagvalal,Magomedova 2004,авантюристка,k,k,no_change,12,2,no_change,Pre-Soviet,0.6
Bagvalal,Magomedova 2004,авантюристка,A,a,no_change,12,2,no_change,Pre-Soviet,0.6
Akhvakh,"Magomedova, Abdulayeva 2007",авария,A,a,no_change,7,0,no_change,Pre-Soviet,29.6
Akhvakh,"Magomedova, Abdulayeva 2007",авария,v,w,no_change,7,0,no_change,Pre-Soviet,29.6
Akhvakh,"Magomedova, Abdulayeva 2007",авария,a,a,no_change,7,0,no_change,Pre-Soviet,29.6
Akhvakh,"Magomedova, Abdulayeva 2007",авария,rʲ,r,no_change,7,0,no_change,Pre-Soviet,29.6
Akhvakh,"Magomedova, Abdulayeva 2007",авария,I,i,no_change,7,0,no_change,Pre-Soviet,29.6
